timestamp,hostname,source_ip,username,ssh_event_type,auth_result,hour_of_day,day_of_week,is_weekend,failed_count_1m,failed_count_5m,failed_count_15m,success_count_1m,success_count_5m,success_count_15m,user_events_1m,user_events_5m,user_events_15m,user_count_per_ip_5m,ip_count_per_user_5m,failure_success_ratio,label,raw_message
2026-04-22 10:00:01,ssh-lab,192.168.1.50,admin,failed_password,failure,10,2,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,Apr 22 10:00:01 ssh-lab sshd[12001]: Failed password for invalid user admin from 192.168.1.50 port 54421 ssh2
2026-04-22 10:00:11,ssh-lab,192.168.1.50,oracle,failed_password,failure,10,2,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0,Apr 22 10:00:11 ssh-lab sshd[12002]: Failed password for invalid user oracle from 192.168.1.50 port 54422 ssh2
2026-04-22 10:00:19,ssh-lab,192.168.1.50,root,failed_password,failure,10,2,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,1,Apr 22 10:00:19 ssh-lab sshd[12003]: Failed password for root from 192.168.1.50 port 54424 ssh2
2026-04-22 10:00:24,ssh-lab,192.168.1.50,test,failed_password,failure,10,2,0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,1.0,2.0,1,Apr 22 10:00:24 ssh-lab sshd[12004]: Failed password for test from 192.168.1.50 port 54425 ssh2
2026-04-22 10:00:31,ssh-lab,192.168.1.50,backup,invalid_user,failure,10,2,0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,1.0,3.0,1,Apr 22 10:00:31 ssh-lab sshd[12005]: Invalid user backup from 192.168.1.50
2026-04-22 10:01:01,ssh-lab,192.168.1.20,analyst,accepted_password,success,10,2,0,4.0,4.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,0,Apr 22 10:01:01 ssh-lab sshd[12006]: Accepted password for analyst from 192.168.1.20 port 53301 ssh2
2026-04-22 10:03:10,ssh-lab,192.168.1.51,support,failed_password,failure,10,2,0,5.0,5.0,5.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,5.0,1,Apr 22 10:03:10 ssh-lab sshd[12007]: Failed password for invalid user support from 192.168.1.51 port 54501 ssh2
2026-04-22 10:03:15,ssh-lab,192.168.1.51,support,failed_password,failure,10,2,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Apr 22 10:03:15 ssh-lab sshd[12008]: Failed password for invalid user support from 192.168.1.51 port 54502 ssh2
2026-04-22 10:04:21,ssh-lab,192.168.1.21,devops,accepted_password,success,10,2,0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,2.0,0,Apr 22 10:04:21 ssh-lab sshd[12009]: Accepted password for devops from 192.168.1.21 port 53390 ssh2
2026-04-22 10:05:03,ssh-lab,192.168.1.52,root,failed_password,failure,10,2,0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0,Apr 22 10:05:03 ssh-lab sshd[12010]: Failed password for root from 192.168.1.52 port 54888 ssh2
